X,Y,Index_,event_unique_id,occurrence_year,Division,homicide_type,occurrence_date,Hood_ID,Neighbourhood,Lat,Long,ObjectId
-8820773.60819537,5425118.28578225,259,2344083,2007,D43,Stabbing,2007/07/29 04:00:00+00,138,Eglinton East (138),43.7388573,-79.2383575,159
-8834574.74262909,5413433.52355668,260,2082431,2007,D51,Shooting,2007/08/04 04:00:00+00,72,Regent Park (72),43.6629715,-79.3623352,160
-8840045.93975429,5410776.52167158,261,2187991,2007,D14,Stabbing,2007/08/09 04:00:00+00,82,Niagara (82),43.6457024,-79.4114838,161
-8832826.03588017,5419627.95087401,262,2383826,2007,D53,Stabbing,2007/08/22 04:00:00+00,55,Thorncliffe Park (55),43.7032127,-79.3466263,162
-8856098.56654906,5410133.36854392,263,2425942,2007,D22,Stabbing,2007/02/22 05:00:00+00,14,Islington-City Centre West (14),43.6415215,-79.555687,163
-8825863.46927291,5418201.25970816,264,2077377,2007,D11,Shooting,2007/08/26 04:00:00+00,121,Oakridge (121),43.6939468,-79.2840805,164
-8819745.10515603,5423443.34163976,265,2421599,2007,D41,Other,2007/08/22 04:00:00+00,123,Cliffcrest (123),43.7279854,-79.2291183,165
-8825787.88333866,5435329.0826927,266,2442324,2007,D42,Other,2007/08/31 04:00:00+00,129,Agincourt North (129),43.8050919,-79.2834015,166
-8825569.60808112,5426554.86129951,267,2265196,2007,D41,Stabbing,2007/09/11 04:00:00+00,126,Dorset Park (126),43.7481804,-79.2814407,167
-8843388.78613917,5416524.64547804,268,2479780,2007,D13,Other,2007/09/07 04:00:00+00,107,Oakwood Village (107),43.6830559,-79.4415131,168
-8852170.54699692,5429737.4007,269,2426042,2007,D31,Shooting,2007/08/16 04:00:00+00,24,Black Creek (24),43.7688293,-79.520401,169
-8850437.12441409,5420156.63967569,270,2373579,2007,D31,Other,2007/09/11 04:00:00+00,28,Rustic (28),43.706646,-79.5048294,170
-8836776.97611545,5412837.73146336,271,2304687,2007,D52,Shooting,2007/09/19 04:00:00+00,76,Bay Street Corridor (76),43.6590996,-79.3821182,171
